,Unnamed: 0,TIME_PERIOD,reporter,product,PRODQNT,PRODVAL
8690,8690,2013,CY,20146339,0.0,0.0
8691,8691,2013,CY,20146350,0.0,0.0
8692,8692,2013,CY,20146360,0.0,0.0
8693,8693,2013,CY,20146373,0.0,0.0
8694,8694,2013,CY,20146375,0.0,0.0
8695,8695,2013,CY,20146379,0.0,0.0
8696,8696,2013,CY,20146380,0.0,0.0
8697,8697,2013,CY,20146430,0.0,0.0
8974,8974,2013,CY,21101030,0.0,0.0
8975,8975,2013,CY,21101050,0.0,0.0
8976,8976,2013,CY,21101070,0.0,0.0
8977,8977,2013,CY,21102010,0.0,0.0
8978,8978,2013,CY,21102020,0.0,0.0
8979,8979,2013,CY,21102040,0.0,0.0
8980,8980,2013,CY,21102060,0.0,0.0
8981,8981,2013,CY,21102070,0.0,0.0
8982,8982,2013,CY,21103117,0.0,0.0
8983,8983,2013,CY,21103119,0.0,0.0
8984,8984,2013,CY,21103130,0.0,0.0
8985,8985,2013,CY,21103140,0.0,0.0
8986,8986,2013,CY,21103155,0.0,0.0
8987,8987,2013,CY,21103159,0.0,0.0
8988,8988,2013,CY,21103170,0.0,0.0
8989,8989,2013,CY,21103180,0.0,0.0
8990,8990,2013,CY,21103200,0.0,0.0
8991,8991,2013,CY,21104000,0.0,0.0
8992,8992,2013,CY,21105100,,0.0
8993,8993,2013,CY,21105200,0.0,0.0
8994,8994,2013,CY,21105300,,0.0
8995,8995,2013,CY,21105400,0.0,0.0
8996,8996,2013,CY,21106020,,0.0
8997,8997,2013,CY,21106040,,0.0
8998,8998,2013,CY,21106055,,0.0
8999,8999,2013,CY,21201130,,0.0
9000,9000,2013,CY,21201150,,0.0
9001,9001,2013,CY,21201160,,0.0
9002,9002,2013,CY,21201180,,0.0
9003,9003,2013,CY,21201230,,0.0
9004,9004,2013,CY,21201250,,0.0
9005,9005,2013,CY,21201260,,0.0
9006,9006,2013,CY,21201270,,0.0
9007,9007,2013,CY,21201310,,0.0
9008,9008,2013,CY,21201320,,0.0
9009,9009,2013,CY,21201340,,0.0
9010,9010,2013,CY,21201360,,0.0
9011,9011,2013,CY,21201380,,0.0
9012,9012,2013,CY,21202125,,0.0
9013,9013,2013,CY,21202145,,0.0
9014,9014,2013,CY,21202160,,0.0
9015,9015,2013,CY,21202200,,0.0
9016,9016,2013,CY,21202320,,0.0
9017,9017,2013,CY,21202340,,0.0
9018,9018,2013,CY,21202420,,0.0
9019,9019,2013,CY,21202430,,0.0
9020,9020,2013,CY,21202440,,0.0
9021,9021,2013,CY,21202460,,0.0
11143,11143,2013,CY,32505010,,0.0
11144,11144,2013,CY,32505020,,0.0
11145,11145,2013,CY,32505030,,0.0
11984,11984,2013,CZ,20141150,0.0,0.0
11985,11985,2013,CZ,20141213,0.0,0.0
11986,11986,2013,CZ,20141215,0.0,0.0
11987,11987,2013,CZ,20141243,0.0,0.0
11988,11988,2013,CZ,20141245,0.0,0.0
11989,11989,2013,CZ,20141270,0.0,0.0
11990,11990,2013,CZ,20141313,0.0,0.0
11991,11991,2013,CZ,20141315,0.0,0.0
11992,11992,2013,CZ,20141325,0.0,0.0
11993,11993,2013,CZ,20141353,0.0,0.0
11994,11994,2013,CZ,20141357,0.0,0.0
11995,11995,2013,CZ,20141371,0.0,0.0
11996,11996,2013,CZ,20141470,0.0,0.0
11997,11997,2013,CZ,20141490,0.0,0.0
11998,11998,2013,CZ,20141910,0.0,0.0
11999,11999,2013,CZ,20141930,0.0,0.0
12000,12000,2013,CZ,20141950,0.0,0.0
12001,12001,2013,CZ,20141970,0.0,0.0
12003,12003,2013,CZ,20142220,0.0,0.0
12004,12004,2013,CZ,20142230,0.0,0.0
12005,12005,2013,CZ,20142240,0.0,0.0
